task,unit,level,max_iter,max_eval,recorded_n_iter,recorded_closure_calls,recorded_budget_exhausted_flag,binding_budget,stop_reason,flag_was_misleading,source_path
E2,215,1e-06,1000,1250,625,1251,False,function_evaluation_budget,"max_eval reached: 1251 closure calls against max_eval=1250, while n_iter=625 < max_iter=1000",True,outputs/posthoc/e2/e2_stationarity_path.csv
E2,215,1e-08,1000,1250,625,1251,False,function_evaluation_budget,"max_eval reached: 1251 closure calls against max_eval=1250, while n_iter=625 < max_iter=1000",True,outputs/posthoc/e2/e2_stationarity_path.csv
E2,215,1e-10,1000,1250,625,1251,False,function_evaluation_budget,"max_eval reached: 1251 closure calls against max_eval=1250, while n_iter=625 < max_iter=1000",True,outputs/posthoc/e2/e2_stationarity_path.csv
E2,216,1e-06,1000,1250,838,1250,False,function_evaluation_budget,"max_eval reached: 1250 closure calls against max_eval=1250, while n_iter=838 < max_iter=1000",True,outputs/posthoc/e2/e2_stationarity_path.csv
E2,216,1e-08,1000,1250,838,1250,False,function_evaluation_budget,"max_eval reached: 1250 closure calls against max_eval=1250, while n_iter=838 < max_iter=1000",True,outputs/posthoc/e2/e2_stationarity_path.csv
E2,216,1e-10,1000,1250,838,1250,False,function_evaluation_budget,"max_eval reached: 1250 closure calls against max_eval=1250, while n_iter=838 < max_iter=1000",True,outputs/posthoc/e2/e2_stationarity_path.csv
E2,217,1e-06,1000,1250,926,1250,False,function_evaluation_budget,"max_eval reached: 1250 closure calls against max_eval=1250, while n_iter=926 < max_iter=1000",True,outputs/posthoc/e2/e2_stationarity_path.csv
E2,217,1e-08,1000,1250,926,1250,False,function_evaluation_budget,"max_eval reached: 1250 closure calls against max_eval=1250, while n_iter=926 < max_iter=1000",True,outputs/posthoc/e2/e2_stationarity_path.csv
E2,217,1e-10,1000,1250,926,1250,False,function_evaluation_budget,"max_eval reached: 1250 closure calls against max_eval=1250, while n_iter=926 < max_iter=1000",True,outputs/posthoc/e2/e2_stationarity_path.csv
E2,218,1e-06,1000,1250,625,1251,False,function_evaluation_budget,"max_eval reached: 1251 closure calls against max_eval=1250, while n_iter=625 < max_iter=1000",True,outputs/posthoc/e2/e2_stationarity_path.csv
